,Date,Open,High,Low,Close,Adj Close,Volume,Hour
3322,2019-04-17 04:00:00,120.77,121.21,120.7,121.21,121.21,0,04:00:00
3323,2019-04-17 05:00:00,121.24,121.44,120.54,121.12,121.12,4242187,05:00:00
3324,2019-04-17 06:00:00,121.12,121.32,120.91,121.01,121.01,2156305,06:00:00
3325,2019-04-17 07:00:00,121.01,121.34,120.89,121.23,121.23,2234720,07:00:00
3326,2019-04-17 08:00:00,121.23,121.49,121.2,121.24,121.24,1642384,08:00:00
3327,2019-04-17 09:00:00,121.25,121.58,121.17,121.21,121.21,1728780,09:00:00
3328,2019-04-17 10:00:00,121.21,121.49,121.18,121.27,121.27,1845607,10:00:00
3329,2019-04-17 11:00:00,121.27,121.85,121.27,121.75,121.75,2388290,11:00:00
3330,2019-04-17 12:00:00,121.77,121.77,120.77,121.1,121.1,0,12:00:00
3331,2019-04-17 13:00:00,121.18,121.77,121.18,121.25,121.25,0,13:00:00
3332,2019-04-17 14:00:00,121.25,121.25,121.2,121.24,121.24,0,14:00:00
3333,2019-04-17 15:00:00,121.24,121.25,121.23,121.25,121.25,0,15:00:00
3334,2019-04-18 01:00:00,121.2,121.2,120.99,120.99,120.99,0,01:00:00
3335,2019-04-18 02:00:00,121.05,121.05,121.04,121.04,121.04,0,02:00:00
3336,2019-04-18 03:00:00,121.04,121.38,121.04,121.16,121.16,0,03:00:00
3337,2019-04-18 04:00:00,121.36,121.38,121.23,121.38,121.38,0,04:00:00
3338,2019-04-18 05:00:00,121.34,121.47,121.23,121.39,121.39,0,05:00:00
3339,2019-04-18 06:00:00,121.43,123.14,121.43,122.47,122.47,0,06:00:00
3340,2019-04-18 07:00:00,122.19,122.58,121.3,121.9,121.9,8288374,07:00:00
3341,2019-04-18 08:00:00,121.9,122.4,121.68,122.04,122.04,2442378,08:00:00
3342,2019-04-18 09:00:00,122.05,122.51,122.04,122.41,122.41,2219528,09:00:00
3343,2019-04-18 10:00:00,122.4,122.99,122.37,122.88,122.88,3161861,10:00:00
3344,2019-04-18 11:00:00,122.87,123.34,122.79,123.21,123.21,2228383,11:00:00
3345,2019-04-18 12:00:00,123.21,123.5,123.11,123.3,123.3,2163149,12:00:00
3346,2019-04-18 13:00:00,123.29,123.52,123.17,123.37,123.37,3593235,13:00:00
3347,2019-04-18 14:00:00,123.37,123.44,122.84,123.37,123.37,0,14:00:00
3348,2019-04-18 15:00:00,123.32,123.37,123.32,123.32,123.32,0,15:00:00
3349,2019-04-18 16:00:00,123.37,123.48,123.33,123.37,123.37,0,16:00:00
3350,2019-04-18 17:00:00,123.45,123.46,123.4,123.45,123.45,0,17:00:00
3351,2019-04-22 01:00:00,123.14,123.14,123.14,123.14,123.14,0,01:00:00
3352,2019-04-22 02:00:00,123.49,123.49,123.04,123.07,123.07,0,02:00:00
3353,2019-04-22 03:00:00,123.06,123.45,122.9,123.05,123.05,0,03:00:00
3354,2019-04-22 04:00:00,122.99,123.14,122.63,122.63,122.63,0,04:00:00
3355,2019-04-22 05:00:00,122.62,123.85,122.57,123.81,123.81,3604509,05:00:00
3356,2019-04-22 06:00:00,123.82,123.99,123.38,123.97,123.97,2095248,06:00:00
3357,2019-04-22 07:00:00,123.98,124.0,123.6,123.65,123.65,1677489,07:00:00
3358,2019-04-22 08:00:00,123.64,123.76,123.36,123.37,123.37,1202066,08:00:00
3359,2019-04-22 09:00:00,123.37,123.7,123.36,123.65,123.65,1361904,09:00:00
3360,2019-04-22 10:00:00,123.65,123.67,123.46,123.54,123.54,1256257,10:00:00
3361,2019-04-22 11:00:00,123.54,123.77,123.5,123.76,123.76,1922550,11:00:00
3362,2019-04-22 12:00:00,123.76,123.8,123.56,123.8,123.8,0,12:00:00
3363,2019-04-22 13:00:00,123.78,123.85,123.76,123.81,123.81,0,13:00:00
3364,2019-04-22 14:00:00,123.81,123.81,123.68,123.68,123.68,0,14:00:00
3365,2019-04-22 15:00:00,123.76,123.87,123.76,123.79,123.79,0,15:00:00
3366,2019-04-23 01:00:00,123.85,123.99,123.85,123.98,123.98,0,01:00:00
3367,2019-04-23 02:00:00,123.98,123.98,123.9,123.9,123.9,0,02:00:00
3368,2019-04-23 03:00:00,123.87,123.94,123.69,123.82,123.82,0,03:00:00
3369,2019-04-23 04:00:00,123.62,124.1,123.62,124.08,124.08,0,04:00:00
3370,2019-04-23 05:00:00,124.08,124.14,123.84,124.14,124.14,0,05:00:00
3371,2019-04-23 06:00:00,124.1,125.25,123.83,124.8,124.8,5869625,06:00:00
3372,2019-04-23 07:00:00,124.79,124.82,124.12,124.76,124.76,2976324,07:00:00
3373,2019-04-23 08:00:00,124.76,125.0,124.57,124.86,124.86,3164840,08:00:00
3374,2019-04-23 09:00:00,124.86,125.07,124.78,124.94,124.94,1655835,09:00:00
3375,2019-04-23 10:00:00,124.94,125.1,124.88,125.03,125.03,1578115,10:00:00
3376,2019-04-23 11:00:00,125.03,128.28,125.02,125.49,125.49,2455166,11:00:00
3377,2019-04-23 12:00:00,125.49,125.58,125.18,125.44,125.44,2737961,12:00:00
3378,2019-04-23 13:00:00,125.44,125.69,124.92,125.43,125.43,0,13:00:00
3379,2019-04-23 14:00:00,125.45,125.55,125.41,125.49,125.49,0,14:00:00
3380,2019-04-23 15:00:00,125.49,125.49,125.43,125.48,125.48,0,15:00:00
3381,2019-04-23 16:00:00,125.48,125.59,125.44,125.59,125.59,0,16:00:00
3382,2019-04-24 01:00:00,125.6,125.6,125.58,125.6,125.6,0,01:00:00
3383,2019-04-24 02:00:00,125.6,125.68,125.6,125.68,125.68,0,02:00:00
3384,2019-04-24 03:00:00,125.7,125.89,125.7,125.78,125.78,0,03:00:00
3385,2019-04-24 04:00:00,125.86,125.9,125.74,125.77,125.77,0,04:00:00
3386,2019-04-24 05:00:00,125.8,126.1,125.73,125.95,125.95,0,05:00:00
3387,2019-04-24 06:00:00,125.98,126.0,125.72,125.82,125.82,0,06:00:00
3388,2019-04-24 07:00:00,125.79,125.85,124.52,125.21,125.21,6484723,07:00:00
3389,2019-04-24 08:00:00,125.22,125.42,124.9,124.95,124.95,3568333,08:00:00
